X0,Z1,X2,Z3,Z4,X5,X6,Z7,Labels
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,-1,1,1,1,1,1,"['X02']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,1,-1,"['X20', 'Z22']"
1,-1,1,1,1,1,1,-1,"['Z11']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,-1,1,-1,1,-1,"['Z12', 'X20']"
1,1,-1,1,1,-1,1,-1,"['X11', 'Z22']"
-1,1,-1,1,-1,-1,1,1,"['X01', 'X10', 'Z20']"
1,1,1,1,1,1,-1,1,"['X10', 'X21']"
1,1,1,1,-1,1,1,-1,"['Z20', 'Z22']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,1,-1,1,1,-1,"['Z02', 'Z12', 'Z20']"
1,1,1,1,-1,1,1,-1,"['Z10', 'Z11']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,-1,1,1,-1,1,1,"['X11']"
-1,1,1,1,1,-1,1,1,"['X00', 'X20']"
-1,1,1,1,1,-1,-1,1,"['X00', 'X21']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,1,1,1,-1,-1,1,"['X20', 'X22']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,1,1,1,1,-1,-1,-1,"['X21', 'Z21']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,1,1,1,1,-1,1,-1,"['X20', 'Z21']"
1,-1,1,1,-1,1,-1,1,"['Z10', 'X22']"
1,-1,1,1,-1,1,1,1,"['Z10']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,-1,1,1,1,1,1,"['X02']"
-1,1,1,1,1,1,1,1,"['X00']"
1,-1,-1,1,1,1,1,-1,"['Z11', 'X12']"
1,1,1,1,1,1,-1,1,"['X10', 'X21']"
1,1,1,1,1,-1,1,1,"['X11', 'X12']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,1,1,-1,1,1,1,-1,"['Z02', 'Z21']"
1,-1,1,1,-1,1,-1,1,"['Z10', 'X22']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,1,-1,1,1,-1,1,-1,"['X10', 'X12', 'Z22']"
-1,1,-1,-1,1,1,1,-1,"['X01', 'Z12']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,1,1,1,1,1,-1,1,"['X22']"
-1,1,1,1,1,1,1,1,"['X00']"
1,-1,1,-1,-1,1,1,-1,"['Z10', 'Z12']"
-1,1,1,1,1,1,1,1,"['X01', 'X02']"
-1,1,-1,1,-1,1,1,1,"['X01', 'Z20']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,-1,1,1,-1,1,1,"['X11']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,1,-1,1,-1,1,-1,"['X10', 'Z12']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,-1,1,-1,-1,1,1,"['X11', 'Z20']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,1,1,1,-1,1,"['X02', 'X11', 'X20', 'X22']"
1,-1,1,1,1,1,1,-1,"['Z00', 'Z22']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,1,-1,-1,1,1,1,-1,"['X02', 'Z12']"
-1,1,1,1,-1,-1,1,1,"['X00', 'X10', 'Z20']"
1,1,-1,1,1,-1,1,1,"['X11']"
-1,1,-1,1,1,1,1,-1,"['X01', 'Z21']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,-1,1,1,1,1,1,"['X02']"
1,1,1,1,1,1,-1,-1,"['X22', 'Z22']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,-1,1,-1,1,1,"['X10', 'Z12', 'Z22']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,-1,1,1,1,1,1,"['X12']"
1,-1,1,1,1,1,1,-1,"['Z00', 'Z21']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,1,-1,"['X10', 'Z22']"
1,1,1,-1,1,1,1,-1,"['Z12']"
-1,1,-1,1,1,1,1,1,"['X00', 'X02']"
1,1,-1,1,1,1,1,1,"['X12']"
1,-1,1,1,1,1,1,-1,"['Z01', 'Z21']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,1,1,1,-1,1,1,"['X20']"
1,1,1,1,1,1,-1,1,"['X22']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,-1,1,1,1,-1,1,-1,"['Z11', 'X20']"
1,1,1,1,-1,1,1,-1,"['Z20', 'Z21']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,-1,1,1,1,1,1,-1,"['Z11']"
-1,1,1,-1,1,1,1,1,"['X00', 'Z02']"
1,-1,-1,1,1,1,-1,1,"['Z00', 'X11', 'X21']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,-1,1,1,1,1,1,-1,"['Z00', 'Z22']"
1,1,1,1,1,-1,1,1,"['X10']"
1,-1,1,1,1,1,1,1,"['Z01']"
1,1,-1,1,1,1,1,1,"['X02']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,1,-1,1,1,1,1,-1,"['X02', 'Z21']"
-1,-1,-1,-1,-1,1,1,-1,"['X01', 'Z02', 'Z11', 'Z20']"
1,1,-1,1,1,-1,1,1,"['X12', 'X20']"
-1,1,1,1,1,1,1,1,"['X01', 'X12']"
1,1,1,1,-1,1,1,-1,"['Z10', 'Z11']"
1,-1,1,1,-1,1,1,1,"['Z00', 'Z20']"
-1,-1,-1,1,1,1,1,-1,"['X01', 'Z11']"
1,-1,1,1,1,1,1,1,"['Z01']"
1,1,1,-1,1,1,1,-1,"['Z12']"
-1,1,1,1,1,1,1,-1,"['X00', 'Z22']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,1,1,1,-1,-1,1,"['X21']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,-1,-1,1,1,1,1,1,"['Z01', 'X12']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,-1,1,-1,1,1,"['Z02', 'X20']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,1,-1,1,1,1,1,"['Z02']"
-1,1,-1,1,1,-1,1,1,"['X01', 'X20']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,1,1,"['X20']"
-1,1,-1,1,1,1,1,-1,"['X01', 'Z22']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,1,-1,"['X20', 'Z22']"
1,1,1,1,-1,1,1,1,"['Z01', 'Z10']"
-1,1,1,1,1,-1,1,-1,"['X00', 'X20', 'Z22']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,-1,1,-1,-1,1,1,-1,"['Z02', 'Z10', 'Z22']"
1,1,-1,1,1,1,1,1,"['X02']"
-1,1,-1,1,1,-1,1,1,"['X00', 'X11']"
1,-1,-1,1,-1,1,1,-1,"['Z10', 'X12', 'Z21']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,-1,1,-1,1,1,1,-1,"['Z01', 'Z12']"
1,-1,1,1,1,1,1,1,"['Z00']"
-1,-1,-1,1,-1,1,1,1,"['X01', 'Z10']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,-1,-1,-1,1,"['Z20', 'X21']"
-1,1,1,1,1,1,1,-1,"['X00', 'Z21']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,1,1,-1,1,-1,"['X21', 'Z21', 'X22']"
1,1,1,-1,1,1,1,-1,"['Z12']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,1,1,1,1,1,"['Z00', 'Z01']"
-1,1,-1,1,1,-1,1,1,"['X00', 'X11']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,-1,1,1,1,-1,1,"['X11', 'X21']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,1,1,1,-1,-1,-1,"['X21', 'Z21']"
1,1,-1,1,1,-1,1,1,"['X10', 'X12']"
1,1,-1,-1,1,-1,1,1,"['Z02', 'X11']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,-1,1,1,1,1,1,1,"['Z00']"
-1,-1,-1,1,1,1,1,-1,"['X01', 'Z11']"
1,1,1,1,1,-1,1,-1,"['Z01', 'Z11', 'X20']"
1,1,-1,1,1,1,1,1,"['Z00', 'Z01', 'X02']"
1,1,-1,1,1,-1,-1,1,"['X12', 'X21']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,1,1,-1,1,1,1,1,"['X10', 'Z12', 'X21', 'Z21', 'X22']"
1,-1,1,1,1,-1,-1,-1,"['X10', 'Z11', 'X22']"
1,1,-1,1,1,-1,1,-1,"['X11', 'Z21']"
1,1,1,1,1,-1,1,-1,"['X10', 'Z21']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,1,1,1,-1,-1,1,"['X21']"
-1,1,-1,1,1,1,1,1,"['X01']"
-1,1,1,1,1,1,1,-1,"['X00', 'Z22']"
1,1,-1,1,1,1,1,1,"['X02']"
1,1,1,1,-1,1,-1,1,"['Z01', 'Z10', 'X22']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,1,-1,-1,1,1,"['X20', 'Z20']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,-1,-1,1,-1,-1,1,1,"['Z00', 'X11', 'Z20']"
1,1,-1,1,-1,1,-1,1,"['X02', 'Z20', 'X22']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,1,1,-1,1,1,"['X10']"
-1,1,1,1,1,-1,-1,-1,"['X00', 'X21', 'Z22']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,-1,1,-1,1,1,1,-1,"['Z00', 'Z12']"
1,1,1,1,1,1,-1,1,"['X22']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,1,1,-1,1,1,"['X20']"
1,1,1,1,1,1,1,-1,"['Z21']"
-1,1,1,1,1,1,1,1,"['X00']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,-1,1,1,1,1,1,-1,"['Z01', 'Z22']"
1,1,1,1,1,-1,1,1,"['X10']"
-1,1,1,1,1,1,1,1,"['X00']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,-1,1,1,1,1,1,-1,"['Z01', 'Z22']"
1,1,1,1,1,1,1,-1,"['Z22']"
-1,1,-1,1,1,-1,1,1,"['X00', 'X12', 'X20']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,1,1,1,-1,-1,-1,1,"['Z10', 'Z11', 'X21', 'Z22']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,-1,1,1,1,1,1,"['X12']"
1,-1,1,1,1,1,1,-1,"['Z11']"
1,-1,1,1,1,1,1,-1,"['Z00', 'Z22']"
-1,1,1,1,1,-1,-1,1,"['X00', 'X21']"
1,1,-1,1,1,1,1,1,"['X02']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,-1,1,1,-1,1,1,"['X10', 'X12']"
-1,1,1,1,1,-1,1,1,"['X00', 'X20']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,-1,1,1,1,1,1,1,"['Z00']"
1,1,1,-1,1,-1,1,-1,"['Z12', 'X20']"
1,1,1,1,1,-1,1,1,"['X10']"
1,1,-1,1,1,1,1,1,"['X12']"
1,-1,1,1,1,1,1,1,"['Z01']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,1,1,1,-1,1,1,"['X20']"
1,1,1,-1,1,1,1,-1,"['Z12']"
1,1,-1,1,1,1,1,1,"['X12']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,1,1,1,1,-1,-1,1,"['X10', 'X22']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,1,-1,1,1,-1,1,1,"['X11']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,1,-1,1,1,1,1,"['Z02']"
-1,1,-1,1,1,1,1,1,"['X01']"
1,1,-1,1,1,1,1,1,"['X12']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,1,1,1,1,-1,1,1,"['X20']"
1,1,1,1,1,1,1,-1,"['Z22']"
1,-1,1,1,1,1,1,1,"['Z01']"
1,1,1,-1,1,1,1,1,"['Z02']"
1,1,1,-1,1,-1,1,1,"['Z02', 'X20']"
1,1,1,1,1,1,-1,1,"['X22']"
1,1,1,1,-1,1,1,1,"['Z20']"
1,-1,-1,1,1,1,1,-1,"['Z01', 'X12', 'Z21']"
1,1,1,1,1,-1,-1,1,"['X21']"
1,1,1,1,1,-1,1,1,"['X10']"
1,-1,1,1,-1,1,1,1,"['Z10']"
1,-1,1,1,1,1,1,1,"['Z11', 'Z21']"
-1,1,-1,1,-1,1,1,1,"['X01', 'Z20']"
1,1,1,1,1,1,1,-1,"['Z02', 'Z12']"
1,1,1,1,1,1,1,-1,"['Z21']"
1,1,1,-1,-1,1,1,-1,"['Z01', 'Z10', 'Z12', 'Z21', 'Z22']"
1,-1,1,1,-1,-1,-1,1,"['Z01', 'Z20', 'X21']"
1,1,1,1,1,-1,1,1,"['X20']"
-1,1,-1,1,1,-1,1,1,"['X01', 'X10']"
1,1,1,1,1,-1,-1,1,"['X21']"
